14256=Numeració senar: 1 - 27=Numeración impar: 1 - 27
13966=Numeració parell: 2 - 36=Numeración par: 2 - 36
14267=Numeració senar: 29 - 41=Numeración impar: 29 - 41
13967=Numeració parell: 38 - 80=Numeración par: 38 - 80
13950=Numeració senar: 43 - 45=Numeración impar: 43 - 45
13951=Numeració senar: 47 - 65=Numeración impar: 47 - 65
13937=Numeració senar: 67 - 99=Numeración impar: 67 - 99
13578=Numeració parell: 82 - 116=Numeración par: 82 - 116
13926=Numeració senar: 101 - 113=Numeración impar: 101 - 113
13577=Numeració senar: 115 - 121=Numeración impar: 115 - 121
