91563=Numeració senar: 1 - 1=Numeración impar: 1 - 1
91562=Numeració parell: 2 - 12=Numeración par: 2 - 12
91267=Numeració senar: 3 - 11=Numeración impar: 3 - 11
91278=Numeració senar: 13 - 27=Numeración impar: 13 - 27
91266=Numeració parell: 14 - 32=Numeración par: 14 - 32
91253=Numeració senar: 29 - 41=Numeración impar: 29 - 41
91252=Numeració parell: 34 - 52=Numeración par: 34 - 52
91221=Numeració senar: 43 - 9999=Numeración impar: 43 - 9999
91467=Numeració parell: 54 - 68=Numeración par: 54 - 68
91195=Numeració parell: 70 - 9998=Numeración par: 70 - 9998
